Business_Name,Category,Address,Neighborhood,Phone,Website,Description,Specialty
M&M Barbecue,Cheap Eats,1250 Massachusetts Avenue,Dorchester,,,Family barbecue business since 1982 now inside Dorchester Brewing,Geneva Ave brisket sandwich and Columbia Rd pulled pork
Mi Pueblito Restaurant,Cheap Eats,333 Border Street and other location,East Boston,,,Family-friendly gem offering Mexican Guatemalan and Salvadoran,Cheese and loroco pupusa with intoxicating edible flowers
Pho Viet's,Cheap Eats,1022 Commonwealth Avenue,Brookline,,,Tran family restaurant with fast counter service,Fresh spring rolls rice vermicelli bowls and bánh mì
Pure Cold Press,Cheap Eats,326 Harvard Street,Brookline,,,All-Kosher Coolidge Corner spot with fresh ingredients,Shakshuka spicy Asian quinoa wrap and vegan Impossible burrito
Shanti,Cheap Eats,1111 Dorchester Avenue and other location,Dorchester,,,Cozy serene Indian and Bangladeshi eatery for over 25 years,Aromatic biryani red-hot vindaloo and smoky tandoori chicken
Sullivan's Castle Island,Cheap Eats,2080 William J. Day Boulevard,South Boston,,,Iconic food stand for over seven decades with gorgeous views,Juicy burgers hand-cut onion rings and soft-serve ice cream
Boston Children's Museum,Kids Activities,308 Congress Street,Boston,,,Three-story learning hub with bubbles room and New Balance maze,Special events with local experts and rotating exhibits
Boston Duck Tours,Kids Activities,1 Science Park,West End,,,Amphibious vehicles with 80-minute tours from multiple locations,ConDUCKtors with corny jokes and historical tidbits
Boston Nature Center & Wildlife Sanctuary,Kids Activities,500 Walk Hill Street,Mattapan,,,67-acre Mass Audubon oasis with two miles of trails,14000-square-foot Nature Nook with sand area and stream
Chez-Vous Roller Skating Rink,Kids Activities,11 Rhoades Street,Dorchester,,,Constant Dorchester roller skating rink since the 1930s,DJ music lessons and casual menu with pizza and burgers
Franklin Park Zoo,Kids Activities,1 Franklin Park Road,Roxbury,,,72 acres with Butterfly Hollow Gorilla Grove and attractions,Farmhouse Cafe and Aussie Aviary parakeet feeding
Harvard Museum of Natural History,Kids Activities,26 Oxford Street,Cambridge,,,Natural oddities and interactive exhibits for inquisitive minds,Gemstones meteorites and preserved coelacanth fish
Larz Anderson Auto Museum,Kids Activities,15 Newton Street,Brookline,,,Country's oldest automobile collection in picturesque park,Family-friendly lawn events and tree-lined playground
Museum of Science,Kids Activities,1 Science Park,West End,,,Local STEM institution with Hayden Planetarium and Omni Theater,Dinosaurs AI and climate solutions through Earthshot
New England Aquarium,Kids Activities,1 Central Wharf,Downtown,,,Atlantic harbor seals four-story tank and spiral walkway,Shark and Ray Touch Tank and hypnotic sea jellies
Ron's Gourmet Ice Cream & Bowling,Kids Activities,1231 Hyde Park Avenue,Hyde Park,,,Hyde Park throwback since 1976 with 10 cozy candlepin lanes,Award-winning homemade ice cream and old-school fun
Rose Kennedy Greenway,Kids Activities,191 Atlantic Avenue,Downtown,,,1.5-mile strip through heart of Boston linking neighborhoods,Bench swings fountains and harbor-themed Greenway Carousel
Contessa,Rooftop Bar,3 Newbury Street,Back Bay,,,Modern Italian restaurant atop The Newbury Hotel with Back Bay views,Spicy lobster capellini in peppery tomato sauce
Felipe's Taqueria,Rooftop Bar,21 Brattle Street,Cambridge,,,More than taqueria with roof deck bar and Harvard Square views,Come-as-you-are feel with cheap drinks and late kitchen
Long Bar & Terrace,Rooftop Bar,40 Trinity Place,Back Bay,,,17th floor Raffles hotel with swank indoor lounge and terrace,Signature Singapore Slings and floor-to-ceiling windows
Rooftop at the Envoy,Rooftop Bar,70 Sleeper Street,Seaport,,,Seven floors up with sweeping Boston Harbor views,Casual dining and igloo dining in winter
Rooftop@Revere,Rooftop Bar,200 Stuart Street,Theater District,,,15000-square-foot rooftop with Theater District views,Free Saturday morning yoga and elegant night spot
Saigon Babylon,Rooftop Bar,907 Main Street Floor 5,Cambridge,,,Vietnamese cuisine hotspot overlooking Central and Kendall squares,Elevated Viet food and craft cocktails from Cicada team
Celeste,Seafood,21 Bow Street,Somerville,,,Union Square mainstay offering best Peruvian flavors in area,Bright tangy ceviche and potato terrine with tuna tartare
The Daily Catch,Seafood,323 Hanover Street,North End,,,Sicilian seafood restaurant size of shoebox in operation 50+ years,Fried calamari squid ink linguine and lobster fra diavolo
Legal Sea Foods,Seafood,270 Northern Avenue,Seaport,,,Locally-born empire with obsession for quality and consistency,Three-level Seaport with roof deck and harbor views
Moëca,Seafood,1 Shepard Street,Cambridge,,,Seafood-centric sister of Giulia channeling Chez Henri verve,Barbecued mussels and umami-scented semolina gnocchi
Ostra,Seafood,1 Charles Street South,Back Bay,,,Truly swank occasion restaurant from Columbus Hospitality Group,Sea bass tartare and salt-crusted branzino for two
The Pearl,Seafood,20B District Avenue,Dorchester,,,Fun evening out with vibes cocktails and grilled oysters,Malik's Chargrilled Oysters with spinach and Parmesan
Saltie Girl,Seafood,279 Dartmouth Street,Back Bay,,,Showcase for tinned seafood treasures from Spain and Portugal,Lobster rolls lobster frites and fried lobster and waffles
Select Oyster Bar,Seafood,50 Gloucester Street,Back Bay,,,Intimate seafood spot in Back Bay townhouse from chef Michael Serpa,Faroe Islands salmon and whole roasted sea bream
Shaking Seafood,Seafood,19 Poplar Street,Roslindale,,,Louisiana crawfish boil experience with communal dining,Spicy boil bags with crawfish crab legs and garlic noodles
Bagelsaurus,Breakfast,1796 Massachusetts Avenue,Cambridge,,,Sourdough bagels fermented 24 hours with in-house spreads,Eggspañola sandwich with sharp creamy pimentón aioli
Brookline Lunch,Breakfast,9 Brookline Street,Cambridge,,,Palestinian-owned cash-only family spot with loyal clientele,Baklava pancakes and fresh big veggie portions
Coffee Turco,Breakfast,483 Cambridge Street,Allston,,,Cute Allston cafe with Turkish breakfast for two,Serpme breakfast spread with cheeses breads and sujuk omelet
Exodus Bagels,Breakfast,2 McCraw Street,Roslindale,,,Best bagels in Boston from takeout window in Roslindale,Lil Fishy on everywhere bagel with horseradish-dill cream cheese
The Friendly Toast,Breakfast,35 Stanhope Street,Back Bay,,,Quirky retro chain with creative punny approach to brunch,Some Like It Tot and vast menu with crowd-pleasers
Milkweed,Breakfast,1508 Tremont Street,Mission Hill,,,Mission Hill treasure with family recipes stored in souls,Lucky Charms pancakes and Holly's Love Muffins
The Neighborhood Restaurant & Bakery,Breakfast,25 Bow Street,Somerville,,,Union Square family-run mainstay with Portuguese twist,Newark Portagee breakfast sandwich with chorizo
Richy's,Breakfast,1461 River Street,Hyde Park,,,Cash-only spot in former pharmacy with five-and-dime feel,Heaping portions of bacon eggs and corned beef hash
Rifrullo Café,Breakfast,147 Cypress Street,Brookline,,,Little Brookline Village spot with beautifully turned out menu,Poached eggs with homemade sourdough and lemony kale salad
Sunny Girl,Breakfast,252 Commercial Street,North End,,,Delicate yeasty homemade English muffins and mint-green tables,O.G. breakfast sandwich and truffle shuffle with pecorino
Verveine Cafe & Bakery,Breakfast,298 Massachusetts Avenue,Cambridge,,,Gluten-free partnership between Monica Glass and Ken Oringer,Chili breakfast biscuit and jolting iced black sesame latte
Winsor Dim Sum Cafe,Breakfast,10 Tyler Street,Chinatown,,Not available,Longtime Chinatown favorite excelling at dim sum anytime,Meaty shumai chicken feet and sweet fried sesame balls
Brattle Book Shop,Bookstore,9 West Street,Downtown,,,200-year-old antiquarian bookseller with rare and secondhand titles,$1 and $3 deals in adjoining alley featured in The Holdovers
Brookline Booksmith,Bookstore,279 Harvard Street,Brookline,,,Six-plus-decade-old beloved shop with 50000+ books,Used book cellar and stellar events at Coolidge Corner Theatre
Frugal Bookstore,Bookstore,57 Warren Street,Roxbury,,,Heart of Roxbury place for anti-racist titles and African diaspora history,Readings clothing drives and community book club meetups
Harvard Book Store,Bookstore,1256 Massachusetts Avenue,Cambridge,,,93-year-old stalwart with 5500 square feet and scholarly feel,Big-name author readings and used book cellar discoveries
JustBook-ish,Bookstore,1463 Dorchester Avenue,Dorchester,,,Dorchester bookshop cafe from former Boston poet laureate,Writers of color challenging political paradigms with poetry open mic
Katherine Small Gallery,Bookstore,108 Beacon Street,Somerville,,,Bright tiny bookstore/art space devoted to graphic design and typography,Soviet-era children's books and lunar cycle collections
Lovestruck Books,Bookstore,44 Brattle Street,Cambridge,,,Harvard Square shop sparking joy with quiet patio,Emily Henry and Alice Walker on shelves with wine and charcuterie
More Than Words,Bookstore,242 East Berkeley Street,South End,,,Industrial South End treasure trove benefiting underprivileged youth,$1 used paperbacks and leather-bound finds supporting youth programs
Papercuts Bookshop,Bookstore,60 South Street,Jamaica Plain,,,Woman-owned Jamaica Plain shop behind unmissable lavender door,Feminist literature buzzing with uber-friendly staff and Cutlass Press
Porter Square Books,Bookstore,1815 Massachusetts Avenue,Cambridge,,,Menagerie of trinkets cards and books on Lesley University campus,Handpicked reads with writer staff and complimentary gift wrapping
Brighton Music Hall,Live Music,158 Brighton Avenue,Allston,,"Not available",,Standing-room venue for 500 in heart of Allston since 2010,Sweet-spot stop for national performers on way to bigger things
City Winery,Live Music,80 Beverly Street,West End,617-933-8047,,Equal parts wine bar and concert venue with 300 seats,Wide-ranging music with table service and shared plates
Crystal Ballroom at Somerville Theatre,Live Music,55 Davis Square,Somerville,617-245-2900,,2021 addition with fancy chandelier and welcoming bar,Indie rock world music and alternative comedy
The Jungle,Live Music,6 Sanborn Court,Somerville,617-718-0204,,Independent club with 85 capacity and affordable gateway to music scene,Bars Over Bars hip-hop and free Wednesday karaoke
The Lilypad,Live Music,1353 Cambridge Street,Cambridge,617-955-7729,,Performance space with 80 standing capacity hosting best jazz,George Garzone Jerry Bergonzi and notable New York musicians
The Middle East,Live Music,472-480 Massachusetts Avenue,Cambridge,617-864-3278,,Central Square hub with intimate Upstairs and larger Downstairs,Wide array of rock and hip-hop acts
Paradise Rock Club,Live Music,967 Commonwealth Avenue,Allston,617-562-8800,,No-frills space where Police R.E.M. and U2 played before arenas,Prominent Green Line marquee and continually replenishing fan base
The Sinclair,Live Music,52 Church Street,Cambridge,617-547-5200,,Bowery Presents venue for 500 with wraparound balcony,Steady stream of well-known acts from Yola to Yo La Tengo
Wally's Cafe Jazz Club,Live Music,427 Massachusetts Avenue,South End,617-828-1754,,History back to 1947 with Joseph Wally Walcott,Neighborhood bar with jazz featuring local heavyweights and students
Carmelina's,Italian Restaurant,307 Hanover Street,North End,,,North End standout with modern Italian comfort food,Fresh pastas in decadent sauces and exceptional seafood
Carlo's Cucina Italiana,Italian Restaurant,131 Brighton Avenue,Allston,,,Beloved reasonably priced Allston restaurant,Vitello Carlo and ravioli Antonio beside seaside murals
Coppa,Italian Restaurant,253 Shawmut Avenue,South End,,,Meat-lover's Italian paradiso from Ken Oringer,Salumi beef-heart pastrami and rich pork tagliatelle
Delfino,Italian Restaurant,754 South Street,Roslindale,,,Perfect Roslindale neighborhood restaurant with purple storefront,Linguine with seafood and Figgy Piggy pork tenderloin
Giulia,Italian Restaurant,1682 Massachusetts Avenue,Cambridge,,,Soulful seasonal Italian near Porter Square with pasta table,Pappardelle with braised wild boar and wonderful desserts
La Padrona,Italian Restaurant,38 Trinity Place,Back Bay,,,Triumphant splurge in Raffles Boston from Rialto legend Jody Adams,Charred cabbage with anchovy butter and tagliatelle with balsamic
MIDA,Italian Restaurant,782 Tremont Street and other locations,South End,,,Neighborhood winner with handmade pasta from Douglass Williams,Mixed greens salad and Mangia Mondays $80 pasta feast
Pammy's,Italian Restaurant,928 Massachusetts Avenue,Cambridge,,,Always classy never pretentious with best Bolognese ever,Miller High Life and homemade limoncello
SRV,Italian Restaurant,569 Columbus Avenue,South End,,,Stylish wine bar paying tribute to Serene Republic of Venice,Pre-meal aperitivi cicchetti and beautiful back patio
Tonino,Italian Restaurant,669A Centre Street,Jamaica Plain,,,Italian restaurant Jamaica Plain had been waiting for,Taleggio cappelletti bucatini and excellent focaccia-adjacent pan pizza
XV Beacon,Boutique Hotel,15 Beacon Street,Beacon Hill,617-670-1500,,63-room hotel in ornate Beaux-Arts building with old Boston elegance,Cashmere throws gas fireplaces and complimentary Lexus service
The Boxer,Boutique Hotel,107 Merrimac Street,West End,617-624-0202,,80-room hotel in historic Flatiron Building with industrial vibe,Bicycles for exploring and jovial laid-back lobby bar
The Eliot Hotel,Boutique Hotel,370 Commonwealth Avenue,Back Bay,617-267-1607,,1925 neo-Georgian building with old-world European hotel feel,Traditional keys chocolates and brass elevator indicators
Raffles Boston,Boutique Hotel,40 Trinity Place,Back Bay,617-351-8888,,Boston's priciest luxury hotel with opulence and butler service,400+ square foot rooms with custom leather bar and stationery
The Row Hotel at Assembly Row,Boutique Hotel,360 Foley Street,Somerville,617-628-1300,,Travel + Leisure third-best US hotel in former Ford Assembly Plant,Heated indoor pool sun terrace and steampunk decor
Sonder 907 Main,Boutique Hotel,907 Main Street,Cambridge,617-300-0956,,Central Square boutique with quirky design and gold bathroom tile,1867 building with plush beds and 55-inch TVs
The Whitney Hotel Boston,Boutique Hotel,170 Charles Street,Beacon Hill,617-367-1866,,65-room hotel in 1909 former nursing dormitory with Charles River views,Whit Pantry on each floor and thoughtfully curated interiors
Allston Billiards,Games & Entertainment,445 Cambridge Street,Allston,,"Not available",,No-frills pool hall drawing college students and regulars,Tables rented by hour with cheap sodas and beer
Boston Bowl,Games & Entertainment,820 Morrissey Boulevard,Dorchester,,,Open until 2 AM with 44 bowling lanes and 30-game arcade,Private adults-only lounge and brewpub serving comfort food
Bouldering Project,Games & Entertainment,12A Tyler Street,Somerville,,,Wall climbing for beginners and experts with fitness classes,Fully-equipped gym yoga and co-working space with sauna
Lucky Strike,Games & Entertainment,145 Ipswich Street,Fenway,,,Prime bowling destination with lounge space and arcade floor,Pool tables full bar and 21-plus evenings
MassArt Art Museum,Games & Entertainment,621 Huntington Avenue,Mission Hill,,,Wild immersive contemporary exhibits with interactive programs,Free Slow Art Thursdays and art-making opportunities
PKL Boston,Games & Entertainment,64 C Street,South Boston,,,Five climate-controlled pickleball courts with craft cocktails,Leagues lessons and shuffleboard with Saturday live music
Puttshack,Games & Entertainment,58 Pier Four Boulevard,Seaport,,,26000-square-foot pleasure dome with four high-tech mini golf courses,Interactive trivia games and comfort food with sensor golf balls
Roxy's Arcade,Games & Entertainment,292 Massachusetts Avenue,Cambridge,,,Speakeasy arcade hidden behind freezer door in grilled cheese shop,21-plus themed cocktails and childhood games
Sacco's Bowl Haven,Games & Entertainment,45 Day Street,Somerville,,,Candlepin bowling dating to 1939 with retro charm,American Flatbread outlet with wood-fired pizzas
SPIN Boston,Games & Entertainment,30 Melcher Street,Seaport,,,Table tennis restaurant and bar renting tables by hour,Vibrant decor juicy chicken sandwiches and staff ball-chasing
The Tall Ship,Games & Entertainment,1 East Pier Drive,East Boston,,,245-foot floating oyster bar at Pier One with lawn games,Cornhole giant Connect 4 and string lights with skyline views
Tavern of Tales,Games & Entertainment,1478 Tremont Street,Mission Hill,,,Board game cafe with private soundproof rooms for D&D,Thursday trivia Super Smash Bros contests and teaching staff
Viva Karaoke x Studios,Games & Entertainment,204 Tremont Street,Theater District,,,Theater District outpost with sexy sci-fi 2000s music video vibes,Private rooms for 29 friends and half million song catalog
Ebi Sushi Bar,Sushi,290 Somerville Avenue,Somerville,,,Unpretentious Union Square sushi joint with freshest fish at third the price,Torched salmon and lunch specials
No Relation,Sushi,11 William E. Mullins Way,South End,,,Nine-person sushi counter hidden in back of Shore Leave tiki bar,17-course omakase menu with sake pairings
O Ya,Sushi,9 East Street,Leather District,,,Tim and Nancy Cushman's prix fixe hideaway near South Station since 2007,20-course omakase with foie gras and chocolate-balsamic soy
Uni,Sushi,370A Commonwealth Avenue,Back Bay,,,Slinky scrumptious backdrop in The Eliot Hotel with izakaya menu,Pristine sushi and pork belly confit with ramp honey
Wa Shin,Sushi,222 Stuart Street,Bay Village,,,2024 Bay Village omakase from former Sushi Nakazawa head chef,Live sweet shrimp Hokkaido uni and fatty tuna with caviar
Washoku Renaissance,Sushi,32 Cambridge Street,Charlestown,,,Chef Youji Iwakura's intimate eight-seat bar in Foundation Kitchen,Artful kaiseki meals and sushi omakase with baby eel
Yamato Japanese Restaurant,Sushi,117 Chiswick Road,Brighton,,,All-you-can-eat Brighton spot with mountains of fresh fish,Osaka-style pressed sushi and unlimited meals for $25
Alamo Drafthouse Cinema,Movie Theater,60 Seaport Boulevard Number 315,Seaport,,,Cinephile-friendly chain with dinner service and themed watch parties,No talking policy and archival movie ad publishing plates
AMC Causeway 13,Movie Theater,60 Causeway Street,West End,,,Boston's newest theater next to Garden with laser projection,AMC Artisan Films and crystal clear Nicole Kidman ads
AMC South Bay Center 12,Movie Theater,25 District Avenue,Dorchester,,,Mall theater experience in busy shopping center,IMAX and Dolby theater with reclining chairs
The Brattle Theatre,Movie Theater,40 Brattle Street,Cambridge,,,Harvard Square institution since 1953 specializing in repertory,Noir City Boston film festivals and 35mm screenings
Coolidge Corner Theatre,Movie Theater,290 Harvard Street,Brookline,,,Former church from 1933 with independent cinema and midnight screenings,Big Screen Classics and Cinema in 70mm programs
Landmark Kendall Square Cinema,Movie Theater,355 Binney Street,Cambridge,,,Nine-theater cinema with Netflix releases and indie films,Friendly staff cozy houses and free membership perks
Somerville Theatre,Movie Theater,55 Davis Square,Somerville,,,110-year-old triplex with gorgeous 840-seat main auditorium,70mm screenings and creepy owls with red eyes
The Anchor,Nightclub,1 Shipyard Park,Charlestown,617-286-6546,,Open-air wine and beer garden with weekly events all summer,Free salsa dancing comedy shows and line dancing
The Beehive,Nightclub,541 Tremont Street,South End,617-423-0069,,White-tablecloth lounge with jazz world music and outdoor terrace,Smoked Turkish pepper wings and Brazilian choro
The Cantab Lounge,Nightclub,738 Massachusetts Avenue,Cambridge,617-714-4278,,Central Square mainstay with live music seven days a week,Cheap beers pistachio shots and diverse crowds
Club Café,Nightclub,209 Columbus Avenue,Bay Village,617-536-0966,,40-year-old restaurant piano bar and legendary LGBTQ+ gathering space,VIP pass to skip entrance lines and sticky dance floors
The Glitter Boys,Nightclub,The Sinclair 52 Church Street,Cambridge,617-547-5200,,All-vinyl disco every Friday in basement with ABBA and costumes,DJs Kyle Buresh and Steve Maling spinning until 2AM
Grace by Nia,Nightclub,60 Seaport Boulevard Floor 3,Seaport,617-927-9411,,Southern soul restaurant-meets-jazz-bar with cabaret-style stage,Brown butter beignets and dining area dance floor
Hava,Nightclub,246 Tremont Street,Theater District,617-695-2250,,Large oval bar with ramp to dance floor and elegant chandeliers,Hip-hop Top 40 and Latin hits with special guest performers
Havana Club,Nightclub,288 Green Street,Cambridge,617-312-5550,,Established Latin dance venue with bachata and salsa socials,Weekly lessons for beginners and in-house bar
La Fábrica Central,Nightclub,450 Massachusetts Avenue,Cambridge,857-706-1125,,Latin American dining experience transitioning to nightclub,Wednesday dance lessons with Bachata Room partnership
ManRay,Nightclub,40 Prospect Street,Cambridge,617-864-0400,,Legendary Central Square club reopened after 18-year hiatus,Wednesday goth Thursday LGBTQ+ Saturday 80s new wave
Silk R&B Party at Big Night Live,Nightclub,110 Causeway Street,West End,617-896-5222,,Monthly R&B party drawing hundreds from all over New England,Immaculate outfits talented DJs and well-mixed music
Slade's Bar and Grill,Nightclub,,,,,Must stop for homesick Black Southerners and Hennessy punch,Crispy fried wings and throwback new jack swing playlist
Yvonne's,Nightclub,2 Winter Place,Downtown Crossing,617-267-0047,,Supper club hidden behind mock hair salon with library lounge,Craft cocktails secret bookcase and check in old book
The Black Comedy Explosion,Comedy Club,Carver Den 80 Talbot Avenue,Dorchester,,,Jonathon Gates' Wednesday night showcase since 1989,National headliners and local up-and-comers with consummate host
Improv Asylum,Comedy Club,74 Warrenton Street,Downtown,,,Reliably funny shows since 1997 with Main Stage and specialty shows,Massholes Comedy Trolley Tour and family-friendly weekend shows
Laugh Boston,Comedy Club,425 Summer Street,Seaport,,,Biggest dedicated comedy club with 300 seats in Westin hotel,Top local headliners and bigger names like Tim Meadows
The Mendoza Line,Comedy Club,The Dugout Cafe 722 Commonwealth Avenue,Fenway,,,Saturday-night showcase in walk-down basement holding 35 people,Secret clubhouse feel with Boston comics and out-of-town drop-ins
The Rockwell,Comedy Club,255 Elm Street,Somerville,,,Basement black-box space with close to 200 seats,Funny Dark Smart Great philosophy with offbeat comedy acts
Rozzie Square Theater,Comedy Club,5 Basile Street,Roslindale,,,49-seat theater with weekly ComedySportz and Queer Comedy Night,Cozy friendly space emphasizing diverse voices
